,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
285,285,2,2,Just picked up our takeout order and seriously!? We spent $30 on one full sized and one half sized salad and tipped $9 combined in cash and on the card on...,2,2021-04-08 18:44:25,Tessa K.,Bad
286,286,0,0,Love the soup and sandwiches we had!! Will definitely be back!!  Wish they were open on weekends!! De-lish!,5,2021-11-01 21:38:02,K S.,Good
287,287,1,1,"Cute little soup and sandwich shop. 
They have salads and takeout items to.

I had the Korean beef and rice soup with the turkey and Gouda sandwich.

Great...",5,2021-11-13 10:05:38,Randy P.,Good
288,288,2,2,"I've been wanting to check out the Soup Farm for a minute and finally made an appearance. It was excellent! The service was great, food was fresh, and the...",5,2021-10-02 22:44:48,Jean M.,Good
289,289,0,0,"Best wings in town! Missoula votes every year, and they always win. All the sauces are made in house, and the wings are fresh. I like mine a little extra...",5,2021-08-12 22:08:16,Kelsey C.,Good
290,290,1,1,Awesome wings! Very busy during March Madness and only one person running it all. Thankfully got help to arrive. Didn't slow thing s down much. Great...,5,2021-03-22 17:10:19,Leila A.,Good
291,291,2,2,"First time back in since covid began. Delicious as always. Super clean, separated tables, and following covid protocol. Would easily and highly recommend!",5,2021-01-13 09:04:12,Kerri M.,Good
292,292,0,0,I don't know how this place doesn't have better reviews because we were really impressed with this place. I am from San Diego so I know what quality Mexican...,5,2021-08-23 19:29:34,andrew s.,Good
293,293,1,1,"Was one of my last options seeing how the restaurants I wanted to go to were closed. Walked in and no one acknowledged me for about 5 mins, then I got...",1,2021-08-15 15:18:16,M N.,Bad
294,294,2,2,"Really enjoyed the meal. The restaurant was nice and quiet, not a lot of people. Good vibe. Great service. Very friendly and offered great recommendations....",4,2021-10-28 23:57:36,Jennifer T.,Good
295,295,0,0,"It's the go too spot when in town, love the bottomless sweet potato fries and burgers, kids love the food too.",5,2021-10-21 15:59:12,710 S.,Good
296,296,1,1,"Absolutely awful experience! From the check in with the young girl working the front, she seated multiple people in front of us until I went up to the...",1,2021-08-06 12:50:37,Candace O.,Bad
297,297,2,2,"I haven't been to this Red Robin in a while because of COVID, however, I decided to order takeout from here tonight. I was not happily greeted on the phone...",2,2020-10-02 20:07:26,Alexa B.,Bad
